"screenName","universal"
"021mirita",0.413569897933165
"0341bordesmirna",0.0562449121005188
"1070mirez",0.515643330531229
"10Juanf",0.0562449121005188
"11alejala",0.138026189602166
"1983_rivero",0.1701324265303
"1eb9fbebeffa481",0.0607801135208407
"1solmartinez",0.0825396626774012
"2271victorhugo5",0.138026189602166
"272_5241",0.158817464242006
"27octoberiano",0.148120708329673
"287cc21b88a8410",0.413569897933165
"2JmanuRosales",0.0411067402195677
"2Reis",0.052029365506959
"2_franklim",0.111167191085188
"3000rosana",0.148120708329673
"31Imposible",0.884865340618437
"3_cr",0.0444788321741982
"3dgaR6A",0.0765131067279284
"57fa7714d4c240d",0.0411067402195677
"7220gy",0.635706839522915
"87Negra27",0.0276140429422608
"88f1a08cfc7a4d3",0.0889951559667924
"9ecb17bd6cfa466",0.052029365506959
"AALau2011",0.111167191085188
"AChaldain",0.119569866519679
"ADNMAGNO",0.194667737284505
"ADROGUEOK",0.474488541290675
"AESTIVIC",0.0656555619800429
"AMADURODALEDURO",0.119569866519679
"ANAGOROSITO4",0.318418856131781
"APMPAU",0.103285734671236
"AbelEsteban",0.0825396626774012
"AbocaVioleta",0.111167191085188
"AcademicaUBA",0.0656555619800429
"Acapafranz",0.194667737284505
"ActivaFM955",0.0607801135208407
"AdAbsurdumBlog",0.0765131067279284
"Adeleache",0.0825396626774012
"Adolfoferrero",0.0825396626774012
"AdrianMarsili",0.128515833759837
"Adrian_R_10",0.0299138233514213
"AdrianaGhibaudi",0.556587037349653
"Adrihappy83",0.0708925733007609
"AfavitaCordoba",0.1701324265303
"Agneciado",0.0444788321741982
"Agnesflowerz",0.0607801135208407
"AguBordignon",0.103285734671236
"AguanteFPLV",0.0379801364663761
"AgusDimmer",0.0562449121005188
"AgusSarzar",0.0323987547370742
"Agusalado",0.0562449121005188
"AgussTiinaG",0.515643330531229
"Aguss_Mastra",0.0708925733007609
"AgusstinQuiroga",0.79905844100477
"AgustinMacri_",0.0444788321741982
"AgustinaMariano",0.0379801364663761
"Aguusfloores98",0.672938751801702
"Aguusmorales1",0.0299138233514213
"Aguustiniocca",0.182079031309288
"Aidadebarros",0.194667737284505
"AiluSacco",0.052029365506959
"AjabAlva",0.194667737284505
"Akainikbel",0.53617614776787
"AlanIronLion",0.0765131067279284
"AlbornJuan",0.207905573288023
"AleMackinlayII",0.0889951559667924
"AleMiselli",0.0607801135208407
"AleSemberg",0.374266788182162
"Ale_Alcaide789",0.128515833759837
"AlejandrAlcalde",0.0959027621411744
"AlejoGustavo",0.0825396626774012
"Aleolivalepuman",0.0444788321741982
"AlexCampbellOK",0.236336911395384
"Alfobailone",0.0411067402195677
