"screenName","point","hashtag","BOTNOT"
"021mirita",0.413569897933165,"#MacriEnElCongreso","BOTNOT"
"0341bordesmirna",0.0562449121005188,"#AperturaDeSesiones","BOTNOT"
"1070mirez",0.515643330531229,"#MacriEnElCongreso","BOTNOT"
"10Juanf",0.0562449121005188,"#AlCongresoConMacri","BOTNOT"
"11alejala",0.138026189602166,"#1M","BOTNOT"
"1983_rivero",0.1701324265303,"#AlCongresoConMacri","BOTNOT"
"1eb9fbebeffa481",0.0607801135208407,"#1MVamosJuntos","BOTNOT"
"1solmartinez",0.0825396626774012,"#Macri","BOTNOT"
"2271victorhugo5",0.138026189602166,"#MacriEnElCongreso","BOTNOT"
"272_5241",0.158817464242006,"#AsambleaLegislativa","BOTNOT"
"27octoberiano",0.148120708329673,"#MacriEnElCongreso","BOTNOT"
"287cc21b88a8410",0.413569897933165,"#MacriEnElCongreso","BOTNOT"
"2JmanuRosales",0.0411067402195677,"#AsambleaLegislativa","BOTNOT"
"2Reis",0.052029365506959,"#1M","BOTNOT"
"2_franklim",0.111167191085188,"#1M","BOTNOT"
"3000rosana",0.148120708329673,"#Macri","BOTNOT"
"31Imposible",0.884865340618437,"#1MVamosJuntos","BOT"
"3_cr",0.0444788321741982,"#Macri","BOTNOT"
"3dgaR6A",0.0765131067279284,"#1MVamosJuntos","BOTNOT"
"57fa7714d4c240d",0.0411067402195677,"#AlCongresoConMacri","BOTNOT"
"7220gy",0.635706839522915,"#1M","BOT"
"87Negra27",0.0276140429422608,"#AlCongresoConMacri","BOTNOT"
"88f1a08cfc7a4d3",0.0889951559667924,"#AlCongresoConMacri","BOTNOT"
"9ecb17bd6cfa466",0.052029365506959,"#Macri","BOTNOT"
"AALau2011",0.111167191085188,"#Macri","BOTNOT"
"AChaldain",0.119569866519679,"#Macri","BOTNOT"
"ADNMAGNO",0.194667737284505,"#Macri","BOTNOT"
"ADROGUEOK",0.474488541290675,"#AlCongresoConMacri","BOTNOT"
"AESTIVIC",0.0656555619800429,"#Macri","BOTNOT"
"AMADURODALEDURO",0.119569866519679,"#1M","BOTNOT"
"ANAGOROSITO4",0.318418856131781,"#1MVamosJuntos","BOTNOT"
"APMPAU",0.103285734671236,"#MacriEnElCongreso","BOTNOT"
"AbelEsteban",0.0825396626774012,"#1MVamosJuntos","BOTNOT"
"AbocaVioleta",0.111167191085188,"#1M","BOTNOT"
"AcademicaUBA",0.0656555619800429,"#AperturaSesiones","BOTNOT"
"Acapafranz",0.194667737284505,"#Macri","BOTNOT"
"ActivaFM955",0.0607801135208407,"#Macri","BOTNOT"
"AdAbsurdumBlog",0.0765131067279284,"#1M","BOTNOT"
"Adeleache",0.0825396626774012,"#AsambleaLegislativa","BOTNOT"
"Adolfoferrero",0.0825396626774012,"#Macri","BOTNOT"
"AdrianMarsili",0.128515833759837,"#Macri","BOTNOT"
