"screenName","point","hashtag","BOTNOT"
"AilenBonazzola1",0.0323987547370742,"#Abortolegal2020","BOTNOT"
"AimiNob",0.0350826433931558,"#Abortolegal2020","BOTNOT"
"AjusteTigre",0.79905844100477,"#Abortolegal2020","BOT"
"AjusteoPinia",0.474488541290675,"#AsambleaLegislativa2020","BOTNOT"
"AlBovino",0.0411067402195677,"#AperturadeSesiones","BOTNOT"
"AlanArbizu",0.0276140429422608,"#TodosConAlberto","BOTNOT"
"Albeeermartinez",0.0350826433931558,"#Abortolegal2020","BOTNOT"
"Aldana_Susana",0.0708925733007609,"#TodosConAlberto","BOTNOT"
"Aldanabelenbae2",0.267344003063405,"#TodosConAlberto","BOTNOT"
"AldiSTelesco",0.0411067402195677,"#Abortolegal2020","BOTNOT"
"AleBermejoMza",0.0825396626774012,"#AperturadeSesiones","BOTNOT"
"AleCeGermano",0.0765131067279284,"#TodosConAlberto","BOTNOT"
"AleFarfan87",0.119569866519679,"#AperturadeSesiones","BOTNOT"
"AleMasConesa",0.0765131067279284,"#AperturadeSesiones","BOTNOT"
"Ale_FacuyBarto",0.052029365506959,"#AperturadeSesiones","BOTNOT"
"AlejMigueles",0.0656555619800429,"#TodosConAlberto","BOTNOT"
"Alejand82227379",0.194667737284505,"#AperturadeSesiones","BOTNOT"
"AlejandraStasi",0.0765131067279284,"#TodosConAlberto","BOTNOT"
"AlejandroFloydv",0.1701324265303,"#AsambleaLegislativa2020","BOTNOT"
"Alejgold",0.0765131067279284,"#AsambleaLegislativa2020","BOTNOT"
"AlejoRodrigue25",0.907746547378614,"#AsambleaLegislativa2020","BOT"
"Alelarosharina",0.111167191085188,"#AperturadeSesiones","BOTNOT"
"AlexMc_Murphy",0.0562449121005188,"#AperturadeSesiones","BOTNOT"
"AlexisRoots",0.0411067402195677,"#AperturadeSesiones","BOTNOT"
"AlfredoGabrielG",0.0562449121005188,"#AsambleaLegislativa2020","BOTNOT"
"AliFarioli",0.0379801364663761,"#AperturadeSesiones","BOTNOT"
"AliGarciaTunon",0.0959027621411744,"#AperturadeSesiones","BOTNOT"
"AliciaAleg",0.0959027621411744,"#AperturadeSesiones","BOTNOT"
"AliciaD00007027",0.0889951559667924,"#AsambleaLegislativa2020","BOTNOT"
"AlmaaDuarte",0.052029365506959,"#Abortolegal2020","BOTNOT"
"Almibandy",0.374266788182162,"#AperturadeSesiones","BOTNOT"
"AloePena",0.182079031309288,"#TodosConAlberto","BOTNOT"
"AlojuanCruz",0.25152334764543,"#AperturadeSesiones","BOTNOT"
"Alpa_Chino89",0.128515833759837,"#Abortolegal2020","BOTNOT"
"AlsinaQuindimil",0.1701324265303,"#AperturadeSesiones","BOTNOT"
"AlterEstatal",0.0708925733007609,"#AperturadeSesiones","BOTNOT"
"AlvarezJufra",0.182079031309288,"#TodosConAlberto","BOTNOT"
"Alvarezcintia11",0.128515833759837,"#AperturadeSesiones","BOTNOT"
"AmiPajolchek",0.0656555619800429,"#AperturadeSesiones","BOTNOT"
"Amina_maktub",0.1701324265303,"#Abortolegal2020","BOTNOT"
"Amistad_2017",0.148120708329673,"#AperturadeSesiones","BOTNOT"
"AmnestySAfrica",0.0607801135208407,"#Abortolegal2020","BOTNOT"
"AmonRa4",0.0562449121005188,"#TodosConAlberto","BOTNOT"
"AnAnavaca19",0.221795687690215,"#AperturadeSesiones","BOTNOT"
"AnGutierrez_PTS",0.0656555619800429,"#AperturadeSesiones","BOTNOT"
"AnaCampetella",0.0323987547370742,"#Abortolegal2020","BOTNOT"
"AnaFranchi3",0.158817464242006,"#AsambleaLegislativa2020","BOTNOT"
"AnaGRiverPlate",0.138026189602166,"#AperturadeSesiones","BOTNOT"
"AnaGonzalezRuiz",0.0656555619800429,"#TodosConAlberto","BOTNOT"
"AnaKarinaG2006",0.0765131067279284,"#AsambleaLegislativa2020","BOTNOT"
"AnaMaRodV",0.0765131067279284,"#Abortolegal2020","BOTNOT"
"AnaOrtegaAlh",0.0765131067279284,"#Abortolegal2020","BOTNOT"
"Ana_piovano",0.128515833759837,"#Abortolegal2020","BOTNOT"
"Anaa_2020",0.0708925733007609,"#AperturadeSesiones","BOTNOT"
"Anamaufer_teamo",0.283782475135694,"#AperturadeSesiones","BOTNOT"
"AndreaArena2",0.111167191085188,"#AsambleaLegislativa2020","BOTNOT"
"AndreaArt4",0.355186217086113,"#TodosConAlberto","BOTNOT"
"AndreeGP",0.052029365506959,"#TodosConAlberto","BOTNOT"
"Andreitayosoy",0.236336911395384,"#AlbertoFernandez","BOTNOT"
"AndresDeLeo",0.111167191085188,"#AperturadeSesiones","BOTNOT"
"Andrew90s1",0.138026189602166,"#Abortolegal2020","BOTNOT"
"Androbilus",0.0656555619800429,"#TodosConAlberto","BOTNOT"
"Andru_Resiste",0.128515833759837,"#AlbertoFernandez","BOTNOT"
"AndyCuevass",0.0299138233514213,"#AperturadeSesiones","BOTNOT"
"AndyFechi",0.0411067402195677,"#AlbertoFernandez","BOTNOT"
"Anfel6840",0.267344003063405,"#Abortolegal2020","BOTNOT"
"AngelesTilves",0.182079031309288,"#AperturadeSesiones","BOTNOT"
"Angelessormore",0.336555195487199,"#Abortolegal2020","BOTNOT"
"Angelsabatella",0.236336911395384,"#AperturadeSesiones","BOTNOT"
"Angeluz_adpf___",0.0959027621411744,"#AperturadeSesiones","BOTNOT"
"AngieOrozcoGa",0.0825396626774012,"#Abortolegal2020","BOTNOT"
"AniiLGonzalez",0.0235187716053296,"#AperturadeSesiones","BOTNOT"
"AnitaZenOk",0.267344003063405,"#TodosConAlberto","BOTNOT"
"AnnaMBlus",0.0959027621411744,"#Abortolegal2020","BOTNOT"
"Anna_The_Brave",0.0959027621411744,"#Abortolegal2020","BOTNOT"
"Annaliax",0.119569866519679,"#AsambleaLegislativa2020","BOTNOT"
"Annita_ayelen",0.148120708329673,"#Abortolegal2020","BOTNOT"
"AntiJoannas",0.0323987547370742,"#AsambleaLegislativa2020","BOTNOT"
"AntikNan",0.119569866519679,"#AperturadeSesiones","BOTNOT"
"AntoCarolini",0.0481136657077545,"#Abortolegal2020","BOTNOT"
