"user","point"
"'alanatchios'",0.194667737284505
"'karitaroja'",0.616428062638762
"'sanchifranc'",0.194667737284505
"'Hana17R'",0.83582857577528
"'plaqueta'",0.0254864249403189
"'CanteroCarla'",0.0411067402195677
"'padrehernancruz'",0.0562449121005188
"'ngpappano'",0.221795687690215
"'FuerzaCristina'",0.0825396626774012
"'DaiStrac'",0.103285734671236
"'zaida_gatti'",0.0889951559667924
"'lucindalucind12'",0.148120708329673
"'DiegoDuda7822'",0.158817464242006
"'Danu_pigna'",0.25152334764543
"'floresvomitadas'",0.1701324265303
"'AgustinaRosa2'",0.0765131067279284
"'micaelaamichel'",0.0299138233514213
"'marta_cai'",0.355186217086113
"'EugePe81'",0.0708925733007609
"'ximenaavril'",0.0708925733007609
"'alucasmar'",0.0444788321741982
"'GZuzek'",0.138026189602166
"'jazblotta'",0.0444788321741982
"'sildoki'",0.0825396626774012
"'Leonard71193333'",0.207905573288023
"'SusaGalindez12'",0.0350826433931558
"'PerezCamiii'",0.0323987547370742
"'Fervillagra0'",0.0481136657077545
"'josebussingerb'",0.0444788321741982
"'rafaroasso'",0.0411067402195677
"'botard79'",0.138026189602166
"'Carolinalucres'",0.052029365506959
"'machialonso'",0.0889951559667924
"'fernandezzvirgi'",0.0323987547370742
"'MariaCardona_'",0.0708925733007609
"'igleon00'",0.267344003063405
"'Tonacho15'",0.1701324265303
"'SoniaDany1'",0.0889951559667924
"'ZabalaAraceli'",0.0444788321741982
"'_giulirossi'",0.0889951559667924
"'claudiaelpato'",0.119569866519679
"'soficandelaa'",0.0825396626774012
"'vivirconmusic'",0.336555195487199
"'justiciain'",0.0825396626774012
"'Manso56'",0.0656555619800429
"'kreplings'",0.0379801364663761
"'angiduarte'",0.221795687690215
"'L04v_xx_'",0.936923076370596
"'lucigonzalezp16'",0.318418856131781
"'pedroemilio2606'",0.0481136657077545
"'JosefinaRocio__'",0.111167191085188
"'TamiRejalaga'",0.0765131067279284
"'SanMartinFest1'",0.53617614776787
"'bonigallina'",0.0708925733007609
"'coogonzalez'",0.111167191085188
"'Tammy98461950'",0.973512860401566
"'azulbatta2001'",0.0379801364663761
"'Vero_Tolaba'",0.0607801135208407
"'DanielI61873005'",0.576808656254886
"'cin_orx'",0.0889951559667924
"'psurtubi'",0.182079031309288
"'DeganoWalter'",0.374266788182162
"'mariel_cba'",0.336555195487199
"'patbozzsan'",0.0607801135208407
"'Ayra41176338'",0.283782475135694
"'RTurdero'",0.0411067402195677
"'damian_ozzy'",0.128515833759837
"'SoyNan28'",0.148120708329673
"'AlsinaQuindimil'",0.1701324265303
"'rocioestevez'",0.0379801364663761
"'JulietNiet'",0.0889951559667924
"'MarianoMS_'",0.0656555619800429
"'glfajim'",0.0323987547370742
"'coco_russo'",0.393746460000491
"'AbbiPronello'",0.0607801135208407
"'MariaRamallo16'",0.0708925733007609
"'CatalinaAmari11'",0.65455964610715
"'eemmeepp'",0.0350826433931558
"'mariwei76'",0.236336911395384
"'paula_yodice'",0.0656555619800429
"'PakcroP'",0.433677433532932
"'nachobaud'",0.0411067402195677
"'actrices_arg'",0.0656555619800429
"'MarcePCsolution'",0.119569866519679
"'breendakopp'",0.052029365506959
"'Bartho333'",0.0656555619800429
"'Mafepeca'",0.0481136657077545
"'1diablorojo'",0.0607801135208407
"'DerechoFer'",0.283782475135694
"'myaels123'",0.0481136657077545
"'GriseldaMafalda'",0.616428062638762
"'beth4211'",0.0959027621411744
"'lup_65'",0.0254864249403189
"'cristian_polis'",0.0708925733007609
"'_basinnn'",0.0235187716053296
"'reveladasweb'",0.596776171128277
"'LoLulil'",0.0323987547370742
"'pichuquitademam'",0.138026189602166
"'yessicacony_'",0.0444788321741982
"'AgussGalgano'",0.138026189602166
"'skinnyquemera'",0.0379801364663761
"'marthaserra5'",0.128515833759837
"'glvwende'",0.0656555619800429
"'Pta21099212'",0.413569897933165
"'CleLidi'",0.103285734671236
"'mvirginillo'",0.052029365506959
"'HoroCisneros'",0.052029365506959
"'BederHerrera'",0.0379801364663761
"'soff_romano'",0.0379801364663761
"'anaallona'",0.138026189602166
"'TamiArenillas'",0.0959027621411744
"'Gabriel15571028'",0.0411067402195677
"'jbrunasco'",0.138026189602166
"'tamdelsur'",0.148120708329673
